projectname,clientname,projectscope,yr_closed,newdistcode,cleanschool,newschoolid,CPI_estamount,CPI_contamount,CPI_changeamt,CPI_closedamount,calculated_cost,yr_op1,genenrollment,distkids,CPI_perstu,CPIdist_kid,ctwhite,ctblack,cthispanic,ctReduced_lunch,distctwhite,distctblack,distcthispanic,distctReduced_lunch,maybecanceled,edu_building,career_tech,community1,community2,gen_facilities,admin,new,modern,career_techspending,edu_buildingspending,community1spending,community2spending,gen_facilitiesspending,adminspending,career_techstudent,edu_buildingstudent,community1student,community2student,gen_facilitiesstudent,adminstudent
BRYSON AVENUE ELEMENTARY (REVISED),LOS ANGELES UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-ELEVATOR STRUCTURE &  (2) STAIRS, ALTERATIONS TO 1-2-STORY C.R. BUILDING",11,622710,BRYSON AVENUE ELEMENTARY,62271002870,1322195,2518470,100559.7,0,2619030,2001,1318,735058,1987.124,3.563025,18,0,1280,1157,71178,92096,510367,530100,0,1,0,0,0,1,0,0,0,,1987.124,,,1987.124,,,1987.124,,,1987.124,
THE CHILDREN'S SCHOOL AT SCRIPPS ELEMENTARY SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-CLASSROOM BUILDING (RELOCATABLE, PC#04-108111) WITH WOOD PLATFORM AND SITE IMPROVEMENTS, ALTERATIONS TO 1-ADMINISTRATION BUILDING (A#11608)",16,634320,THE CHILDREN'S AT SCRIPPS ELEMENTARY,63432010380,0,261329.6,,0,261329.6,2007,552,131208,473.4232,1.99172,332,11,25,26,32949,17479,57058,79606,0,1,0,0,0,1,1,0,0,,473.4232,,,473.4232,473.4232,,473.4232,,,473.4232,473.4232
SUNLAND ELEMENTARY,LOS ANGELES UNIFIED SCHOOL DISTRICT,ALTERATIONS TO 1-ENTIRE CAMPUS (FIRE ALARM & SAFETY & TECHNOLOGY),13,622710,SUNLAND ELEMENTARY,62271003379,0,1775931,160852.6,0,1936784,2005,567,727319,3415.844,2.662908,263,22,254,365,66438,86362,539906,556015,0,0,1,0,0,1,0,0,0,3415.844,,,,3415.844,,3415.844,,,,3415.844,
HOOVER ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-CORRECTIVE ACCESS COMPLIANCE WORK FOR PROJECT 03-109946 (FIRE ALARM),16,622710,HOOVER ELEMENTARY,62271003092,0,288248.1,,288248.1,288248.1,2013,783,650620,368.1329,0.443036,3,7,781,732,59934,61377,482081,389786,0,1,0,0,0,1,0,0,0,,368.1329,,,368.1329,,,368.1329,,,368.1329,
LOS ANGELES NEW ELEMENTARY SCHOOL #1,LOS ANGELES UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-ADMIN./CR/KG BLDG.,MP BLDG. AND TRASH ENCLOSURE",15,622710,LOS ANGELES NEW ELEMENTARY,62271002816,1.18E+07,1.79E+07,1579477,1.95E+07,1.95E+07,2003,687,747009,28325.03,26.04961,1,453,284,695,70031,90541,537136,555117,0,1,0,0,0,0,1,0,0,,28325.03,,,,28325.03,,28325.03,,,,28325.03
HORTON ELEMENTARY SCHOOL,SAN DIEGO UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-MASONRY RETAINING WALLS (UP TO 5'-4,7,634320,HORTON ELEMENTARY,63432005483,215903.7,414027.1,-10342.93,0,403684.1,2003,835,137960,483.454,2.926095,18,108,597,581,36825,21108,57546,79705,0,0,0,0,0,1,0,0,0,,,,,483.454,,,,,,483.454,
ARCADE MIDDLE SCHOOL,SAN JUAN UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-ALTS. TO THREE CLASSROOM BLDGS, LOCKER/SHOWER BLDG, MUSIC ROOM, MULTIPURPOSE BLDG., ADMIN. BLDG., BUS GARAGE AND MECHANICAL BLDG. (PORTION 1)  TWO CLASSROOMS AND LIBRARY BLDG. (PORTION 2)(PORTION 1 CL",3,634620,ARCADE MIDDLE,63462005752,2104782,2527870,1556312,0,4084182,1998,672,47799,6077.652,85.44492,,14,38,,0,2851,4292,0,0,1,0,1,0,1,1,0,0,,6077.652,6077.652,,6077.652,6077.652,,6077.652,6077.652,,6077.652,6077.652
BURBANK BLVD ELEMENTARY SCHOOL,LOS ANGELES UNIFIED SCHOOL DISTRICT,CONSTRUCTION OF 1-ALTERATION TO  4 CLSRM BUILDINGS (RELOCATION ) (STOCKPILE A-66627) ; CLSRM BLDG,10,622710,BURBANK BLVD ELEMENTARY,62271002874,71983.46,82334.68,,0,82334.68,1998,605,695885,136.0904,0.1183165,,76,326,,0,93867,466259,0,0,1,0,0,0,1,0,0,0,,136.0904,,,136.0904,,,136.0904,,,136.0904,
CENTRAL LOS ANGELES HIGH SCHOOL #12,LOS ANGELES UNIFIED SCHOOL DISTRICT,"CONSTRUCTION OF 1-C.R. BUILDING, M.P.BUILDING, ADMIN/LIBRARY/C.R BUILDING AND PARKING STRUCTURE",13,622710,CENTRAL LOS ANGELES HIGH,62271002908,0,2.41E+07,1117862,2.52E+07,2.52E+07,2005,659,727319,38210.24,34.62105,16,93,479,603,66438,86362,539906,556015,0,1,0,1,0,1,1,0,0,,38210.24,38210.24,,38210.24,38210.24,,38210.24,38210.24,,38210.24,38210.24
MONTERA MIDDLE SCHOOL,OAKLAND UNIFIED SCHOOL DISTRICT,RELOCATION OF 1-ONE CR BLDG.,5,628050,MONTERA MIDDLE,62805004303,39738.52,39738.52,,0,39738.52,2004,882,49214,45.05501,0.8074637,287,384,95,258,2916,21344,16989,32530,0,1,0,0,0,0,0,0,0,,45.05501,,,,,,45.05501,,,,
